Gene	Category	CDS_Length	A%	T%	G%	C%	GC%	AT%	GC1%	GC2%	GC3%	GC12%	GC3s%	GC_skew	AT_skew	CpG_OE	A3/(A3+T3)	G3/(G3+C3)	ENC	ENC_expected	CpG_Island
FLT3	Oncogene	2979	25.914736488754613	23.79993286337697	23.96777442094663	26.317556226921784	50.285330647868406	49.714669352131594	48.74118831822759	49.345417925478344	52.769385699899296	49.04330312185297	51.781737193763924	-0.04672897196261682	0.042538825118163405	1.0487410431168536	0.5479744136460555	0.49809160305343514	58.81066329841737	60.44426034889658	True
JAK2	Oncogene	3396	23.733804475853944	24.381625441696116	25.323910482921086	26.560659599528858	51.88457008244994	48.11542991755006	51.9434628975265	50.61837455830389	53.091872791519435	51.28091872791519	52.5390625	-0.02383654937570942	-0.01346389228886169	1.0247229269902665	0.5254237288135594	0.5041597337770383	60.30347193972432	60.37620867537668	True
FGFR1	Oncogene	2466	16.38280616382806	16.342254663422548	34.02270884022709	33.2522303325223	67.2749391727494	32.7250608272506	67.15328467153284	67.51824817518248	67.15328467153284	67.33576642335765	66.41318124207858	0.011452682338758288	0.0012391573729863693	0.9323237673721233	0.44814814814814813	0.5163043478260869	55.223327486538565	55.022184718299826	True
FGFR2	Oncogene	2466	19.586374695863746	17.153284671532848	32.56285482562855	30.697485806974857	63.26034063260341	36.73965936739659	62.652068126520675	63.38199513381995	63.74695863746959	63.01703163017031	62.96296296296296	0.029487179487179487	0.06622516556291391	1.043015877150966	0.5	0.49427480916030536	56.905128398993185	56.97667333142911	True
FGFR3	Oncogene	2520	16.071428571428573	14.166666666666666	34.24603174603175	35.51587301587302	69.76190476190476	30.23809523809524	71.07142857142857	68.33333333333333	69.88095238095238	69.70238095238095	70.08547008547008	-0.01820250284414107	0.06299212598425197	0.9824389643660374	0.5217391304347826	0.4787052810902896	51.59362399247917	52.64185356863681	True
CDK4	Oncogene	912	18.859649122807017	18.421052631578945	31.688596491228072	31.030701754385966	62.71929824561403	37.28070175438597	63.1578947368421	63.48684210526315	61.51315789473685	63.32236842105263	61.83745583038869	0.01048951048951049	0.011764705882352941	0.8483999098243964	0.5470085470085471	0.5561497326203209	53.43346021686947	57.54000902589593	True
CCND1	Oncogene	882	23.12925170068027	19.614512471655328	26.53061224489796	30.725623582766442	57.256235827664405	42.743764172335595	60.204081632653065	53.40136054421769	58.16326530612245	56.802721088435376	57.03971119133574	-0.07326732673267326	0.08222811671087533	0.9747071538645184	0.4959349593495935	0.4853801169590643	54.2282122671596	59.44301053044371	True
TP53	TSG	1182	26.988155668358715	25.80372250423012	22.33502538071066	24.873096446700508	47.20812182741117	52.79187817258883	47.71573604060914	48.223350253807105	45.68527918781726	47.96954314720812	44.6927374301676	-0.053763440860215055	0.022435897435897436	1.1126450965267949	0.4672897196261682	0.4888888888888889	58.1381780287041	59.8007326949609	False
BRCA1	TSG	5592	28.96995708154507	28.505007153075823	21.9241773962804	20.600858369098713	42.525035765379116	57.474964234620884	40.82618025751073	43.18669527896996	43.56223175965665	42.006437768240346	42.458432304038006	0.031118587047939444	0.008089607965152458	0.9860552075798819	0.47718631178707227	0.48891625615763545	59.854781452370176	59.13442981872163	False
BRCA2	TSG	10257	30.311007117090767	30.320756556498	19.635370966169447	19.732865360241785	39.368236326411235	60.631763673588765	38.549283416203565	40.09944428195379	39.45598128107633	39.32436384907868	37.86220218931101	-0.0024764735017335313	-0.00016079755587715066	0.9487113026892215	0.4966183574879227	0.4907338769458858	57.541931489924664	57.15086864651751	False
RB1	TSG	2787	26.659490491567993	26.551847865087908	22.56907068532472	24.219590958019378	46.7886616433441	53.2113383566559	45.31754574811625	47.470398277717976	47.57804090419806	46.39397201291712	46.27218934911242	-0.0352760736196319	0.0020229265003371545	0.978418544383664	0.47433264887063653	0.5158371040723982	60.03674016193797	60.14210361534395	False
APC	TSG	8532	31.03609939052977	30.88373183309892	19.56165025785279	18.51851851851852	38.08016877637131	61.91983122362869	37.41209563994374	38.67791842475386	38.150492264416314	38.045007032348806	36.72118380062305	0.027393044013542627	0.0024607230740109785	1.0192926246005565	0.51847640704946	0.5096774193548387	56.61751891626633	56.54594343012539	False
PTEN	TSG	1212	24.09240924092409	26.980198019801982	24.58745874587459	24.33993399339934	48.92739273927393	51.07260726072607	48.01980198019802	46.28712871287129	52.475247524752476	47.15346534653465	51.206434316353885	0.00505902192242833	-0.05654281098546042	1.1866462406516836	0.4635416666666667	0.4481132075471698	57.762408113875395	60.47831676755833	False
VHL	TSG	642	18.847352024922117	15.264797507788161	36.13707165109034	29.750778816199375	65.88785046728972	34.112149532710276	65.42056074766354	66.35514018691589	65.88785046728972	65.88785046728972	64.9746192893401	0.09692671394799054	0.1050228310502283	0.9722220735733204	0.547945205479452	0.5319148936170213	46.22835631550672	55.875615192656944	True
WT1	TSG	1491	22.66934942991281	21.93158953722334	27.632461435278337	27.76659959758551	55.39906103286385	44.60093896713615	55.53319919517102	51.710261569416495	58.95372233400402	53.62173038229376	58.06451612903226	-0.002421307506053269	0.016541353383458645	1.0671643091271201	0.5490196078431373	0.515358361774744	58.55400911131639	59.110056925996204	True
NF1	TSG	8457	28.260612510346462	28.473453943478777	21.92266761262859	21.343265933546174	43.265933546174765	56.734066453825235	44.55480666903157	43.100390209294076	42.142603760198654	43.82759843916283	40.82498072474942	0.013391637059305822	-0.003751563151313047	0.9376800162183353	0.4855916615573268	0.5134680134680135	59.132327146761114	58.518871004093924	False
NF2	TSG	1785	25.15406162464986	26.05042016806723	24.649859943977592	24.14565826330532	48.79551820728291	51.20448179271709	48.57142857142857	49.2436974789916	48.57142857142857	48.90756302521008	47.201492537313435	0.010332950631458095	-0.0175054704595186	0.9888739657060865	0.4803921568627451	0.5259515570934256	59.485254041024916	60.29088819217766	False
CDKN2A	TSG	471	17.40976645435244	19.32059447983015	32.05944798301486	31.210191082802545	63.26963906581741	36.73036093418259	62.42038216560509	63.05732484076433	64.3312101910828	62.738853503184714	63.013698630136986	0.013422818791946308	-0.05202312138728324	0.9994188403838358	0.4642857142857143	0.5544554455445545	51.75492728357473	56.950347882610686	True
SMAD4	TSG	1659	25.25617842073538	23.930078360458108	25.31645569620253	25.49728752260398	50.81374321880651	49.18625678119349	49.186256781193485	52.44122965641953	50.81374321880651	50.81374321880651	48.919449901768175	-0.0035587188612099642	0.02696078431372549	0.9437130525541324	0.5	0.4875444839857651	58.80604375065485	60.46211909064891	True
STK11	TSG	1302	17.51152073732719	19.431643625192013	30.798771121351763	32.25806451612903	63.0568356374808	36.9431643625192	64.97695852534562	61.75115207373272	62.44239631336406	63.364055299539174	61.55717761557178	-0.023142509135200974	-0.05197505197505198	1.0057600042936472	0.4171779141104294	0.5092250922509225	54.765511224792576	57.67394903667295	True
MLH1	TSG	2271	26.464112725671512	26.72831351827389	23.822104799647732	22.98546895640687	46.8075737560546	53.1924262439454	46.10303830911493	47.02774108322325	47.29194187582563	46.56538969616909	46.39769452449568	0.017873941674506115	-0.004966887417218543	0.9895682544210808	0.5137844611528822	0.4581005586592179	59.51569079332472	60.16447432614618	False
MSH2	TSG	2805	25.240641711229944	28.591800356506237	25.098039215686274	21.06951871657754	46.16755793226381	53.83244206773619	47.700534759358284	46.63101604278075	44.17112299465241	47.16577540106952	43.05882352941177	0.08725868725868725	-0.06225165562913907	1.1667389192469786	0.4904214559386973	0.5351089588377724	59.151496022998586	59.33394825615167	False
ATM	TSG	9168	29.679319371727747	29.50479930191972	19.91710296684119	20.898778359511343	40.81588132635253	59.18411867364747	39.98691099476439	40.21596858638743	42.24476439790576	40.10143979057591	41.30747126436782	-0.024051309460181722	0.002948765204570586	0.9775399874377264	0.5076487252124646	0.4833462432223083	58.8683953251862	58.71150956076724	False
BAP1	TSG	2187	15.95793324188386	17.55829903978052	32.96753543667124	33.51623228166438	66.48376771833561	33.51623228166439	66.3923182441701	66.66666666666666	66.3923182441701	66.52949245541838	66.28242074927954	-0.008253094910591471	-0.047748976807639835	1.026738506374204	0.46530612244897956	0.4834710743801653	56.08450743855184	55.10183064999832	True
CHEK2	TSG	1629	26.764886433394718	28.176795580110497	22.406384284837326	22.65193370165746	45.058317986494785	54.941682013505215	42.7255985267035	45.11970534069982	47.32965009208103	43.92265193370166	45.52845528455284	-0.005449591280653951	-0.02569832402234637	1.016594658626065	0.47202797202797203	0.490272373540856	59.330852410528685	59.995087831534065	False
CDH1	TSG	2649	23.291808229520576	24.009060022650054	27.1045677614194	25.59456398640997	52.69913174782936	47.30086825217064	51.075877689694224	53.5673839184598	53.45413363533409	52.32163080407701	53.241895261845386	0.02865329512893983	-0.015163607342378291	1.110508699680518	0.49878345498783455	0.5063559322033898	58.50445933356802	60.289610379261255	True
FBXW7	TSG	2169	25.218994928538496	27.017058552328262	24.158598432457353	23.605348086675885	47.76394651913324	52.23605348086676	46.749654218533884	46.334716459197786	50.20746887966805	46.542185338865835	49.924585218702866	0.011583011583011582	-0.03442188879082083	1.027217238860239	0.5111111111111111	0.4738292011019284	60.44993260031142	60.49911390505689	False
NOTCH1	Dual-Role	7668	17.879499217527385	18.50547730829421	31.416275430359935	32.19874804381846	63.6150234741784	36.3849765258216	64.12363067292645	63.302034428795	63.41940532081377	63.712832550860725	63.002903359601824	-0.012300123001230012	-0.017204301075268817	1.0340825832862401	0.5197860962566845	0.49660703269586676	56.49780635305541	56.95595583083419	True
IDH1	Dual-Role	1245	21.526104417670684	20.883534136546185	28.273092369477908	29.31726907630522	57.59036144578313	42.40963855421687	56.144578313253014	56.867469879518076	59.75903614457832	56.506024096385545	59.32642487046632	-0.01813110181311018	0.015151515151515152	1.09587555133883	0.49101796407185627	0.4717741935483871	56.69475053148733	58.64312804426829	True
IDH2	Dual-Role	1359	16.114790286975715	18.8373804267844	32.818248712288444	32.22958057395143	65.04782928623987	34.952170713760125	64.67991169977924	64.01766004415012	66.44591611479028	64.34878587196468	66.27634660421545	0.00904977375565611	-0.07789473684210527	0.9468236180932257	0.48026315789473684	0.5149501661129569	55.45756179325933	55.10552071870767	True
EZH2	Dual-Role	2256	21.187943262411345	23.537234042553195	27.615248226950357	27.659574468085108	55.27482269503546	44.72517730496454	56.38297872340425	55.452127659574465	53.98936170212766	55.91755319148936	52.87356321839081	-0.0008019246190858059	-0.05252725470763132	1.0566481476867884	0.48265895953757226	0.4975369458128079	60.39917068201052	60.33779541622394	True
DNMT3A	Dual-Role	2739	22.197882438846296	23.950346841913106	28.148959474260675	25.702811244979916	53.8517707192406	46.1482292807594	56.51697699890471	51.91675794085433	53.12157721796276	54.21686746987952	52.56410256410257	0.04542372881355932	-0.0379746835443038	0.9389371608831465	0.4953271028037383	0.5670103092783505	58.95128004251541	60.37350987810005	True
TET2	Dual-Role	6063	28.81411842322283	28.946066303809996	20.501401946231237	21.738413326735937	42.23981527296718	57.76018472703282	42.89955467590302	40.42553191489361	43.3943592281049	41.662543295398315	42.122538293216635	-0.029285435376805936	-0.002284408909194746	0.9882889211724472	0.4982517482517482	0.4766248574686431	60.18585631539244	59.01643266405236	False
SF3B1	Dual-Role	3891	24.13261372397841	23.5929067077872	26.394243125160628	25.880236443073763	52.27447956823439	47.72552043176561	52.81418658442559	51.50346954510409	52.50578257517348	52.15882806476484	51.79916317991632	0.00983284169124877	0.011308562197092083	1.0311539481052479	0.4967532467532468	0.5066079295154186	59.756322505644306	60.442990617723794	True
NPM1	Dual-Role	885	24.293785310734464	23.27683615819209	26.666666666666668	25.76271186440678	52.429378531073446	47.570621468926554	55.59322033898305	54.23728813559322	47.45762711864407	54.91525423728814	47.87234042553192	0.017241379310344827	0.021377672209026127	0.9879584424863063	0.5096774193548387	0.4642857142857143	58.233129476933385	60.3738883387334	True
CTNNB1	Dual-Role	2346	26.001705029838025	23.35890878090367	25.44757033248082	25.191815856777495	50.63938618925832	49.36061381074168	48.9769820971867	51.27877237851662	51.66240409207161	50.12787723785166	50.762829403606105	0.005050505050505051	0.0535405872193437	1.0177539282571986	0.5396825396825397	0.4777227722772277	59.93246538621221	60.49413115386043	True
MDM2	Dual-Role	1491	28.23608316566063	26.291079812206576	21.93158953722334	23.541247484909455	45.47283702213279	54.52716297786721	46.68008048289739	43.66197183098591	46.076458752515094	45.17102615694165	45.39473684210527	-0.035398230088495575	0.03567035670356704	1.0789274480488076	0.5223880597014925	0.4847161572052402	59.848659365558916	59.9660503727129	False
